 Gold Label  Predicted Label
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
--------------------------------------------------
 Gold Label  Predicted Label
        0.0              0.0
        0.0              0.0
        1.0              0.0
        1.0              1.0
        0.0              1.0
        0.0              0.0
        1.0              0.0
        0.0              1.0
        1.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        1.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        1.0              1.0
        1.0              1.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
--------------------------------------------------
 Gold Label  Predicted Label
        0.0              0.0
        0.0              0.0
        0.0              0.0
        1.0              1.0
        0.0              1.0
        0.0              0.0
        1.0              0.0
        1.0              0.0
        0.0              0.0
        0.0              0.0
        1.0              1.0
        1.0              1.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
--------------------------------------------------
 Gold Label  Predicted Label
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        1.0              0.0
        1.0              0.0
        0.0              0.0
        1.0              0.0
        0.0              0.0
        1.0              0.0
        0.0              0.0
        0.0              0.0
        1.0              0.0
        1.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        1.0              0.0
        1.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              0.0
        0.0              1.0
        0.0              1.0
--------------------------------------------------
